Time to vote:2054.17ms
i:190 p:2168 n:176 a:24
i:191 p:547 n:170 a:0
i:192 p:3618 n:401 a:6
i:193 p:3626 n:344 a:15
i:194 p:3625 n:327 a:13
i:195 p:1787 n:414 a:6
i:196 p:1114 n:289 a:3
i:197 p:2002 n:574 a:1
i:198 p:3596 n:389 a:22
i:199 p:570 n:448 a:19
i:200 p:3623 n:263 a:18
i:201 p:2265 n:196 a:27
i:202 p:3107 n:147 a:8
i:203 p:2553 n:213 a:5
i:204 p:2800 n:186 a:5
i:205 p:3255 n:162 a:12
i:206 p:3588 n:398 a:23
i:207 p:3341 n:284 a:4
i:208 p:3332 n:323 a:8
i:209 p:2097 n:310 a:27
i:210 p:3603 n:556 a:4
i:211 p:2204 n:261 a:24
i:212 p:974 n:195 a:11
i:213 p:1116 n:261 a:1
i:214 p:2310 n:288 a:4
i:215 p:2221 n:236 a:5
i:216 p:1348 n:335 a:10
i:217 p:3503 n:172 a:21
i:218 p:3617 n:269 a:12
i:219 p:3294 n:306 a:26
i:220 p:3255 n:329 a:24
i:221 p:972 n:381 a:15
i:222 p:741 n:207 a:0
i:223 p:2058 n:140 a:1
i:224 p:976 n:254 a:12
i:225 p:2221 n:316 a:5
i:226 p:3541 n:192 a:17
i:227 p:1491 n:314 a:11
i:228 p:1558 n:128 a:3
i:229 p:3344 n:262 a:25
i:230 p:3253 n:331 a:18
i:231 p:3133 n:376 a:3
i:232 p:3056 n:355 a:5
i:233 p:1532 n:450 a:5
i:234 p:1252 n:408 a:5
i:235 p:3621 n:141 a:17
i:236 p:177 n:134 a:22
i:237 p:487 n:186 a:5
i:238 p:3557 n:337 a:2
i:239 p:3591 n:596 a:9
i:240 p:3616 n:811 a:26
i:241 p:2222 n:115 a:7
i:242 p:3185 n:236 a:25
i:243 p:3283 n:176 a:24
i:244 p:3062 n:263 a:19
i:245 p:3072 n:220 a:21
i:246 p:2888 n:267 a:4
i:247 p:3288 n:276 a:12
i:248 p:2058 n:213 a:4
i:249 p:3626 n:222 a:20
i:250 p:2062 n:583 a:2
i:251 p:2064 n:427 a:4
i:252 p:418 n:222 a:7
i:253 p:418 n:116 a:8
i:254 p:192 n:242 a:21
i:255 p:3619 n:303 a:2
i:256 p:3617 n:941 a:15
i:257 p:3583 n:168 a:21
i:258 p:3019 n:267 a:20
i:259 p:2986 n:215 a:5
i:260 p:2945 n:171 a:9
i:261 p:1971 n:375 a:1
i:262 p:1918 n:184 a:26
i:263 p:1575 n:456 a:26
i:264 p:1665 n:427 a:17
i:265 p:1645 n:565 a:23
i:266 p:2144 n:716 a:20
i:267 p:1802 n:556 a:5
i:268 p:1986 n:585 a:21
i:269 p:3523 n:176 a:12
i:270 p:355 n:254 a:27
i:271 p:3585 n:349 a:26
i:272 p:261 n:129 a:22
i:273 p:1645 n:98 a:7
i:274 p:3163 n:133 a:18
i:275 p:2917 n:199 a:12
i:276 p:3004 n:152 a:20
i:277 p:2861 n:177 a:7
i:278 p:1645 n:580 a:22
