Time to vote:3010.43ms
i:189 p:1573 n:3020 a:16
i:190 p:1592 n:2875 a:16
i:191 p:349 n:2861 a:1
i:192 p:343 n:2703 a:1
i:193 p:1625 n:2569 a:16
i:194 p:3327 n:609 a:11
i:195 p:3255 n:495 a:11
i:196 p:565 n:517 a:24
i:197 p:465 n:611 a:10
i:198 p:2095 n:607 a:10
i:199 p:2099 n:550 a:10
i:200 p:604 n:547 a:9
i:201 p:2099 n:612 a:10
i:202 p:604 n:663 a:9
i:203 p:3622 n:1141 a:25
i:204 p:1685 n:857 a:16
i:205 p:15 n:906 a:2
i:206 p:2144 n:749 a:7
i:207 p:22 n:852 a:2
i:208 p:1949 n:517 a:8
i:209 p:112 n:535 a:23
i:210 p:2107 n:557 a:8
i:211 p:288 n:586 a:7
i:212 p:287 n:619 a:7
i:213 p:1592 n:2732 a:16
i:214 p:1613 n:2667 a:16
i:215 p:341 n:2676 a:1
i:216 p:316 n:2598 a:1
i:217 p:331 n:2648 a:1
i:218 p:305 n:2411 a:1
i:219 p:321 n:2311 a:1
i:220 p:1709 n:2334 a:16
i:221 p:299 n:2260 a:1
i:222 p:267 n:2153 a:1
i:223 p:1667 n:2257 a:16
i:224 p:1701 n:2145 a:16
i:225 p:639 n:1000 a:29
i:226 p:1691 n:2566 a:16
i:227 p:662 n:3101 a:1
i:228 p:662 n:3329 a:1
i:229 p:645 n:3567 a:1
i:230 p:3316 n:511 a:20
i:231 p:3050 n:459 a:12
i:232 p:2099 n:527 a:10
i:233 p:254 n:582 a:17
i:234 p:3283 n:615 a:26
i:235 p:332 n:855 a:17
i:236 p:604 n:659 a:10
i:237 p:327 n:763 a:17
i:238 p:21 n:797 a:2
i:239 p:3622 n:868 a:25
i:240 p:1808 n:887 a:15
i:241 p:74 n:909 a:1
i:242 p:20 n:1055 a:2
i:243 p:24 n:1127 a:1
i:244 p:348 n:674 a:20
i:245 p:3555 n:713 a:24
i:246 p:3495 n:620 a:24
i:247 p:1818 n:445 a:7
i:248 p:1872 n:455 a:8
i:249 p:185 n:497 a:23
i:250 p:143 n:506 a:23
i:251 p:336 n:2331 a:0
i:252 p:322 n:2054 a:1
i:253 p:1708 n:2233 a:16
i:254 p:1827 n:2562 a:16
i:255 p:1738 n:2114 a:16
i:256 p:1667 n:2220 a:16
i:257 p:1823 n:2137 a:16
i:258 p:1734 n:2050 a:16
i:259 p:506 n:626 a:19
i:260 p:1850 n:2206 a:16
i:261 p:1789 n:1997 a:16
i:262 p:639 n:1021 a:0
i:263 p:1902 n:2281 a:16
i:264 p:1843 n:1898 a:16
i:265 p:652 n:2858 a:1
i:266 p:1899 n:2086 a:16
i:267 p:652 n:2809 a:1
i:268 p:646 n:3455 a:1
i:269 p:647 n:3286 a:1
i:270 p:617 n:2609 a:1
i:271 p:1716 n:1134 a:2
i:272 p:612 n:2714 a:1
i:273 p:557 n:2916 a:1
i:274 p:3589 n:798 a:29
i:275 p:3589 n:872 a:29
i:276 p:3283 n:592 a:26
i:277 p:350 n:825 a:17
i:278 p:343 n:861 a:17
i:279 p:455 n:1055 a:9
i:280 p:14 n:842 a:2
i:281 p:534 n:997 a:9
i:282 p:438 n:1186 a:8
i:283 p:630 n:747 a:11
i:284 p:3585 n:913 a:11
i:285 p:3558 n:950 a:16
i:286 p:3498 n:705 a:16
i:287 p:2144 n:1074 a:7
i:288 p:2144 n:1117 a:7
i:289 p:15 n:1158 a:1
i:290 p:1758 n:569 a:18
i:291 p:1919 n:740 a:16
i:292 p:25 n:701 a:8
i:293 p:3584 n:796 a:9
i:294 p:3495 n:811 a:24
i:295 p:3432 n:571 a:24
i:296 p:3366 n:579 a:24
i:297 p:3366 n:578 a:25
i:298 p:885 n:700 a:19
i:299 p:506 n:908 a:23
i:300 p:1846 n:1717 a:16
i:301 p:1931 n:2463 a:16
i:302 p:1872 n:1933 a:16
i:303 p:1985 n:2520 a:16
i:304 p:1978 n:1956 a:17
i:305 p:2045 n:2513 a:16
i:306 p:2039 n:2035 a:17
i:307 p:633 n:3001 a:1
i:308 p:2010 n:2164 a:16
i:309 p:1975 n:1780 a:16
i:310 p:15 n:2326 a:3
i:311 p:1975 n:2006 a:16
i:312 p:551 n:1367 a:0
i:313 p:1716 n:1777 a:16
i:314 p:2148 n:2214 a:17
i:315 p:556 n:3145 a:1
i:316 p:3589 n:812 a:29
i:317 p:2070 n:2105 a:16
i:318 p:535 n:3366 a:1
i:319 p:1716 n:2861 a:17
i:320 p:2068 n:1804 a:15
i:321 p:477 n:3110 a:1
i:322 p:3589 n:991 a:29
i:323 p:2147 n:1846 a:16
i:324 p:426 n:2789 a:1
i:325 p:474 n:3489 a:1
i:326 p:639 n:1101 a:7
i:327 p:424 n:2982 a:1
i:328 p:453 n:3713 a:1
i:329 p:409 n:2646 a:2
i:330 p:435 n:3854 a:1
i:331 p:472 n:3635 a:2
i:332 p:554 n:1137 a:11
i:333 p:472 n:981 a:9
i:334 p:348 n:843 a:16
i:335 p:1575 n:969 a:3
i:336 p:348 n:696 a:15
i:337 p:3558 n:934 a:16
i:338 p:3558 n:819 a:16
i:339 p:1889 n:801 a:15
i:340 p:3583 n:841 a:9
i:341 p:1941 n:814 a:15
i:342 p:3583 n:872 a:9
